user_id,company_name,signup_date,industry
U-101,Company101,2025-11-24,Healthcare
U-102,Company102,2025-01-13,Education
U-103,Company103,2025-05-06,Retail
U-104,Company104,2025-03-13,Healthcare
U-105,Company105,2025-12-13,Healthcare
U-106,Company106,2025-10-30,Marketing
U-107,Company107,2025-01-17,Technology
U-108,Company108,2025-02-17,Retail
U-109,Company109,2025-04-30,Technology
U-110,Company110,2025-10-15,Retail
U-111,Company111,2025-11-29,Marketing
U-112,Company112,2025-04-23,Logistics
U-113,Company113,2025-10-29,Education
U-114,Company114,2025-01-04,Finance
U-115,Company115,2025-12-24,Marketing
U-116,Company116,2025-06-24,Education
U-117,Company117,2025-03-21,Retail
U-118,Company118,2025-06-22,Healthcare
U-119,Company119,2025-02-17,Marketing
U-120,Company120,2025-02-19,Manufacturing
U-121,Company121,2025-06-26,Education
U-122,Company122,2025-01-23,Logistics
U-123,Company123,2025-10-02,Healthcare
U-124,Company124,2025-07-13,Healthcare
U-125,Company125,2025-10-10,Education
U-126,Company126,2025-11-18,Manufacturing
U-127,Company127,2025-10-23,Retail
U-128,Company128,2025-12-27,Healthcare
U-129,Company129,2025-01-24,Retail
U-130,Company130,2025-05-29,Healthcare
U-131,Company131,2025-04-30,Healthcare
U-132,Company132,2025-07-14,Education
U-133,Company133,2025-08-21,Manufacturing
U-134,Company134,2025-03-25,Manufacturing
U-135,Company135,2025-07-01,Retail
U-136,Company136,2025-12-10,Education
U-137,Company137,2025-12-26,Healthcare
U-138,Company138,2025-11-08,Finance
U-139,Company139,2025-10-01,Retail
U-140,Company140,2025-03-25,Logistics
U-141,Company141,2025-07-14,Education
U-142,Company142,2025-11-24,Retail
U-143,Company143,2025-12-17,Manufacturing
U-144,Company144,2025-01-29,Retail
U-145,Company145,2025-01-17,Manufacturing
U-146,Company146,2025-07-25,Education
U-147,Company147,2025-02-03,Retail
U-148,Company148,2025-10-18,Manufacturing
U-149,Company149,2025-04-19,Logistics
U-150,Company150,2025-07-22,Logistics
